date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:35:23	181055/181055	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c80356b5734991af10fe63e2aa4c263b%22	http://cdn.rlets.com/capture_configs/c2c/4cf/39f/7754c7e90e28feef7277a2b.js	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/cdn.rlets.com/capture_configs/c2c/4cf/39f/7754c7e90e28feef7277a2b.js	(from https://www.lamafiabarbearia.com.br/)
01:35:23	18951/18951	---M--	200	added ('OK')	image/png	etag:%221e45dd-4a07-5631f89c3cd80%22	https://www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/images/logo-lamafia_2.png	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/images/logo-lamafia_2.png	(from https://www.lamafiabarbearia.com.br/)
01:35:23	45461/45461	---MC-	200	added ('OK')	text/javascript	date:Sat,%2019%20Feb%202022%2004:35:18%20GMT	http://www.googleadservices.com/pagead/conversion.js	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.googleadservices.com/pagead/f.txt	(from https://www.lamafiabarbearia.com.br/)
01:35:23	92357/92357	---M--	200	added ('OK')	image/png	etag:%221e45e4-168c5-5631f89d30fc0%22	https://www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/images/mascara-tijolos-header.png	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/themes/trimmer-child/images/mascara-tijolos-header.png	(from https://www.lamafiabarbearia.com.br/)
01:35:24	25701/25701	---M--	200	added ('OK')	image/png	etag:%221e486d-6465-5631f8c7272c0%22	https://www.lamafiabarbearia.com.br/wp-content/uploads/2013/12/novo-logo-hero-home.png	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/uploads/2013/12/novo-logo-hero-home.png	(from https://www.lamafiabarbearia.com.br/)
01:35:25	144958/144958	---M--	200	added ('OK')	image/jpeg	etag:%221e658c-2363e-57cfdd888baf9%22	https://www.lamafiabarbearia.com.br/wp-content/uploads/2018/12/TROFEU-jpg.jpg	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/uploads/2018/12/TROFEU-jpg.jpg	(from https://www.lamafiabarbearia.com.br/)
01:35:25	49748/49748	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2004:35:23%20GMT	https://www.lamafiabarbearia.com.br/agendamento/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/agendamento/index.html	(from https://www.lamafiabarbearia.com.br/)
01:35:26	50479/50479	---M--	200	added ('OK')	image/jpeg	etag:%221e48bc-c52f-5631f8d481240%22	https://www.lamafiabarbearia.com.br/wp-content/uploads/2015/02/cadeira-slide-intro-1.jpg	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/uploads/2015/02/cadeira-slide-intro-1.jpg	(from https://www.lamafiabarbearia.com.br/)
01:35:27	71327/71327	---MC-	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2004:35:24%20GMT	https://www.lamafiabarbearia.com.br/loja/	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/loja/index.html	(from https://www.lamafiabarbearia.com.br/)
01:35:28	25089/25089	---M--	200	added ('OK')	image/jpeg	etag:%221e4919-6201-5631f8dff2d40%22	https://www.lamafiabarbearia.com.br/wp-content/uploads/2015/02/slide-2-intro.jpg	C:/Users/eduar/Desktop/Barbearia%20Braxa/Barber%20Brabo/www.lamafiabarbearia.com.br/wp-content/uploads/2015/02/slide-2-intro.jpg	(from https://www.lamafiabarbearia.com.br/)
